chr	pos	loci_ID	Signal	Phenotype	start	end	size
7	20537675	117	1	IBD	20037675	21037675	1e+06
7	41935319	291	1	UC	41435319	42435319	1e+06
7	46834111	292	1	UC	46334111	47334111	1e+06
7	50176442	120	2	IBD	49676442	50220814	544372
7	50265186	120	3	IBD	50220815	50765186	544371
7	74711703	293	1	IBD	74211703	75211703	1e+06
7	99171402	121	1	IBD	98671402	99671402	1e+06
7	100717894	122	1	IBD	100217894	101217894	1e+06
7	107806606	123	2	UC	107306606	107823143	516537
7	107839681	123	1	UC	107823144	108339681	516537
7	117252792	124	1	UC	116752792	117752792	1e+06
7	128933913	125	1	UC	128433913	129433913	1e+06
7	148523356	126	1	IBD	148023356	148630801	607445
7	148738247	127	1	IBD	148630802	149238247	607445
8	27370037	128	1	IBD	26870037	27870037	1e+06
8	48216682	129	1	IBD	47716682	48716682	1e+06
8	89863690	131	1	IBD	89363690	90363690	1e+06
8	115614948	294	1	UC	115114948	116114948	1e+06
8	129611859	134	1	IBD	129111859	130111859	1e+06
8	141164479	295	1	IBD	140664479	141664479	1e+06
9	4984530	135	1	IBD	4484530	5484530	1e+06
9	88081422	298	1	IBD	87581422	88581422	1e+06
9	91166134	137	1	IBD	90666134	91666134	1e+06
9	92674850	299	1	IBD	92174850	93174850	1e+06
9	114783386	138	1	IBD	114283386	115283386	1e+06
9	136365140	140	2	IBD	135865140	136371595	506455
9	136378050	140	1	IBD	136371596	136878050	506454
10	6607973	301	1	IBD	6107973	7107973	1e+06
10	26890667	142	1	UC	26390667	27390667	1e+06
10	35177257	144	1	IBD	34677257	35677257	1e+06
10	62594503	146	2	UC	62094503	62636614	542111
10	62678726	146	1	IBD	62636615	63178726	542111
10	80508189	149	1	IBD	80008189	81008189	1e+06
10	89146767	303	1	UC	88646767	89646767	1e+06
10	92669710	150	1	IBD	92169710	93169710	1e+06
10	99523573	151	1	IBD	99023573	99525963	502390
10	99528354	151	2	UC	99525964	100028354	502390
10	101436625	304	1	UC	100936625	101936625	1e+06
10	102472959	152	1	IBD	101972959	102972959	1e+06
10	124750812	154	1	IBD	124250812	125250812	1e+06
11	1852842	156	1	IBD	1352842	2352842	1e+06
11	17311651	305	1	IBD	16811651	17811651	1e+06
11	36410895	306	1	IBD	35910895	36910895	1e+06
11	56679337	307	1	IBD	56179337	57179337	1e+06
11	58641214	158	1	IBD	58141214	59141214	1e+06
11	61796827	160	1	IBD	61296827	62296827	1e+06
11	64382898	161	1	IBD	63882898	64882898	1e+06
11	76588605	164	1	IBD	76088605	77088605	1e+06
11	87414396	165	1	IBD	86914396	87914396	1e+06
11	91270280	308	1	IBD	90770280	91770280	1e+06
11	96290263	166	1	UC	95790263	96790263	1e+06
11	114559688	167	1	UC	114059688	115059688	1e+06
11	128516011	169	1	IBD	128016011	129016011	1e+06
12	37910758	310	1	IBD	37410758	38410758	1e+06
12	40346421	172	1	IBD	39846421	40846421	1e+06
12	47814585	173	1	UC	47314585	48314585	1e+06
12	56076060	311	1	IBD	55576060	56576060	1e+06
12	68114342	174	1	UC	67614342	68614342	1e+06
12	69348988	312	1	IBD	68848988	69848988	1e+06
12	111569952	175	1	IBD	111069952	111871431	801479
12	112172910	171	1	IBD	111871432	112672910	801478
12	116408331	315	1	IBD	115908331	116908331	1e+06
12	119709120	176	1	IBD	119209120	120209120	1e+06
13	26957130	177	1	UC	26457130	27457130	1e+06
13	40439840	178	1	IBD	39939840	40939840	1e+06
13	52062509	316	1	IBD	51562509	52562509	1e+06
14	65142694	317	1	UC	64642694	65642694	1e+06
14	68816170	185	1	IBD	68316170	69316170	1e+06
14	75275048	186	1	IBD	74775048	75775048	1e+06
14	87998543	187	1	IBD	87498543	88498543	1e+06
14	105686797	318	1	IBD	105186797	106186797	1e+06
15	41271752	189	1	UC	40771752	41771752	1e+06
15	60777789	319	1	IBD	60277789	61277789	1e+06
15	67165360	190	2	IBD	66665360	67665360	1e+06
15	79913012	320	1	IBD	79413012	80294108	881096
15	80675204	321	1	IBD	80294109	81175204	881095
15	90629669	191	1	IBD	90129669	91129669	1e+06
16	2117121	322	1	IBD	1617121	2617121	1e+06
16	23835741	193	1	UC	23335741	24335741	1e+06
16	27384341	323	1	UC	26884341	27884341	1e+06
16	28517460	194	1	IBD	28017460	29017460	1e+06
16	30471173	195	1	UC	29971173	30971173	1e+06
16	50301163	241	1	UC	49801163	50465364	664201
16	50629566	196	8	UC	50465365	51129566	664201
16	68553789	197	1	UC	68053789	69053789	1e+06
16	75463237	324	1	IBD	74963237	75963237	1e+06
16	78768798	325	1	IBD	78268798	79268798	1e+06
16	81883307	198	1	IBD	81383307	81886257	502950
16	81889208	198	2	IBD	81886258	82389208	502950
16	85980635	200	1	IBD	85480635	86480635	1e+06
17	7074375	327	1	IBD	6574375	7574375	1e+06
17	39867492	203	1	IBD	39367492	40243358	875866
17	40619224	328	1	UC	40243359	41119224	875865
17	42375526	204	1	IBD	41875526	42875526	1e+06
17	48268286	330	1	IBD	47768286	48768286	1e+06
17	59886176	206	1	IBD	59386176	60386176	1e+06
17	62449865	331	1	IBD	61949865	62949865	1e+06
17	72615055	207	1	IBD	72115055	73115055	1e+06
17	78741036	208	1	UC	78241036	79241036	1e+06
17	81183249	332	1	UC	80683249	81683249	1e+06
18	2734945	333	1	IBD	2234945	3234945	1e+06
18	12818923	209	1	IBD	12318923	13318923	1e+06
18	48878443	210	1	IBD	48378443	49378443	1e+06
18	50977537	335	1	IBD	50477537	51477537	1e+06
18	69863203	212	1	IBD	69363203	70363203	1e+06
19	10402235	215	1	IBD	9902235	10902235	1e+06
19	33257277	216	1	IBD	32757277	33757277	1e+06
19	40712706	338	1	IBD	40212706	41212706	1e+06
19	54871595	220	1	IBD	54371595	55371595	1e+06
20	6113242	221	1	IBD	5613242	6613242	1e+06
20	32137845	222	1	IBD	31637845	32463160	825315
20	32788476	223	1	IBD	32463161	33288476	825315
20	35211477	224	1	IBD	34711477	35711477	1e+06
20	40169106	341	1	IBD	39669106	40669106	1e+06
20	41301389	342	1	IBD	40801389	41801389	1e+06
20	44436388	225	1	UC	43936388	44936388	1e+06
20	50339058	227	1	IBD	49839058	50839058	1e+06
20	59279977	228	1	IBD	58779977	59779977	1e+06
20	63697746	229	1	IBD	63197746	64197746	1e+06
21	39091357	232	1	IBD	38591357	39591357	1e+06
21	44193942	233	1	IBD	43693942	44693942	1e+06
22	26641724	343	1	IBD	26141724	27141724	1e+06
22	29775282	235	1	IBD	29275282	30275282	1e+06
22	35333728	236	1	UC	34833728	35833728	1e+06
22	39264824	238	1	IBD	38764824	39764824	1e+06
22	50001001	240	1	UC	49501001	50501001	1e+06
