chr	pos	loci_ID	Signal	Phenotype	start	end	size
7	944282	289	1	CD	444282	1444282	1e+06
7	6505557	115	1	IBD	6005557	7005557	1e+06
7	20537675	117	1	IBD	20037675	21037675	1e+06
7	26852912	118	1	CD	26352912	27352912	1e+06
7	28151111	119	1	CD	27651111	28651111	1e+06
7	37417880	290	1	CD	36917880	37917880	1e+06
7	50176442	120	2	IBD	49676442	50220814	544372
7	50265186	120	3	IBD	50220815	50274382	53567
7	50283578	120	1	CD	50274383	50783578	509195
7	74711703	293	1	IBD	74211703	75211703	1e+06
7	99171402	121	1	IBD	98671402	99671402	1e+06
7	100717894	122	1	IBD	100217894	101217894	1e+06
7	148523356	126	1	IBD	148023356	148630801	607445
7	148738247	127	1	IBD	148630802	149238247	607445
8	27370037	128	1	IBD	26870037	27870037	1e+06
8	48216682	129	1	IBD	47716682	48716682	1e+06
8	73095112	130	1	CD	72595112	73595112	1e+06
8	89863690	131	1	IBD	89363690	90363690	1e+06
8	125527809	132	1	CD	125027809	126027809	1e+06
8	128528218	133	1	CD	128028218	129028218	1e+06
8	129611859	134	1	IBD	129111859	130111859	1e+06
8	141164479	295	1	IBD	140664479	141664479	1e+06
8	144042819	296	1	CD	143542819	144542819	1e+06
9	271455	297	1	CD	0	771455	771455
9	4984530	135	1	IBD	4484530	5484530	1e+06
9	34736161	136	1	CD	34236161	35236161	1e+06
9	88081422	298	1	IBD	87581422	88581422	1e+06
9	91166134	137	1	IBD	90666134	91666134	1e+06
9	92674850	299	1	IBD	92174850	93174850	1e+06
9	114783386	138	1	IBD	114283386	114806555	523169
9	114829725	138	3	CD	114806556	114881666	75110
9	114933607	138	2	CD	114881667	115433607	551940
9	117713024	139	1	CD	117213024	118213024	1e+06
9	133257521	300	1	CD	132757521	133757521	1e+06
9	136365140	140	2	IBD	135865140	136371595	506455
9	136378050	140	1	IBD	136371596	136406782	35186
9	136435514	140	3	CD	136406783	136935514	528731
10	6047814	141	2	CD	5547814	6050274	502460
10	6052734	141	1	CD	6050275	6330353	280078
10	6607973	301	1	IBD	6330354	7107973	777619
10	30400387	143	1	CD	29900387	30900387	1e+06
10	35177257	144	1	IBD	34677257	35677257	1e+06
10	48182406	302	1	CD	47682406	48682406	1e+06
10	58259033	145	1	CD	57759033	58759033	1e+06
10	62621908	146	3	CD	62121908	62650317	528409
10	62678726	146	1	IBD	62650318	63178726	528408
10	73895870	147	1	CD	73395870	74395870	1e+06
10	79287626	148	1	CD	78787626	79787626	1e+06
10	80508189	149	1	IBD	80008189	81008189	1e+06
10	92669710	150	1	IBD	92169710	93169710	1e+06
10	99523573	151	1	IBD	99023573	100023573	1e+06
10	102472959	152	1	IBD	101972959	102972959	1e+06
10	110425838	153	1	CD	109925838	110925838	1e+06
10	124750812	154	1	IBD	124250812	125250812	1e+06
10	131373856	155	1	CD	130873856	131873856	1e+06
11	1852842	156	1	IBD	1352842	2352842	1e+06
11	17311651	305	1	IBD	16811651	17811651	1e+06
11	36410895	306	1	IBD	35910895	36910895	1e+06
11	56679337	307	1	IBD	56179337	57057436	878099
11	57435536	157	1	CD	57057437	57935536	878099
11	58641214	158	1	IBD	58141214	59141214	1e+06
11	61008737	159	1	CD	60508737	61402782	894045
11	61796827	160	1	IBD	61402783	62296827	894044
11	64382898	161	1	IBD	63882898	64882898	1e+06
11	65889093	162	1	CD	65389093	66389093	1e+06
11	73152652	163	1	CD	72652652	73652652	1e+06
11	76588605	164	1	IBD	76088605	77088605	1e+06
11	87414396	165	1	IBD	86914396	87914396	1e+06
11	91270280	308	1	IBD	90770280	91770280	1e+06
11	118273990	309	1	CD	117773990	118578817	804827
11	118883644	168	1	CD	118578818	118899458	320640
11	118915273	168	2	CD	118899459	119415273	515814
11	128516011	169	1	IBD	128016011	129016011	1e+06
12	6383934	170	1	CD	5883934	6883934	1e+06
12	37910758	310	1	IBD	37410758	38410758	1e+06
12	40331158	172	2	CD	39831158	40338789	507631
12	40346421	172	1	IBD	40338790	40846421	507631
12	56076060	311	1	IBD	55576060	56576060	1e+06
12	69348988	312	1	IBD	68848988	69848988	1e+06
12	96137691	313	1	CD	95637691	96637691	1e+06
12	110259525	314	1	CD	109759525	110759525	1e+06
12	111569952	175	1	IBD	111069952	111871431	801479
12	112172910	171	1	IBD	111871432	112672910	801478
12	116408331	315	1	IBD	115908331	116908331	1e+06
12	119709120	176	1	IBD	119209120	120209120	1e+06
13	40439840	178	1	IBD	39939840	40711907	772067
13	40983974	179	1	CD	40711908	41483974	772066
13	42343725	180	1	CD	41843725	42411234	567509
13	42478744	181	1	CD	42411235	42978744	567509
13	43910570	182	1	CD	43410570	44410570	1e+06
13	49021195	183	1	CD	48521195	49521195	1e+06
13	52062509	316	1	IBD	51562509	52562509	1e+06
13	99366602	184	1	CD	98866602	99866602	1e+06
14	68816170	185	1	IBD	68316170	69316170	1e+06
14	75275048	186	1	IBD	74775048	75775048	1e+06
14	87998543	187	1	IBD	87498543	88498543	1e+06
14	105686797	318	1	IBD	105186797	106186797	1e+06
15	38606558	188	1	CD	38106558	39106558	1e+06
15	60777789	319	1	IBD	60277789	61277789	1e+06
15	67150258	190	1	CD	66650258	67157809	507551
15	67165360	190	2	IBD	67157810	67665360	507550
15	79913012	320	1	IBD	79413012	80294108	881096
15	80675204	321	1	IBD	80294109	81175204	881095
15	90629669	191	1	IBD	90129669	91129669	1e+06
16	2117121	322	1	IBD	1617121	2617121	1e+06
16	11255821	192	1	CD	10755821	11755821	1e+06
16	28517460	194	1	IBD	28017460	29017460	1e+06
16	50660100	196	6	CD	50160100	50685438	525338
16	50710777	196	9	CD	50685439	50711396	25957
16	50712015	196	2	CD	50711397	50712151	754
16	50712288	196	7	CD	50712152	50714593	2441
16	50716899	196	10	CD	50714594	50719764	5170
16	50722629	196	3	CD	50719765	50725744	5979
16	50728860	196	5	CD	50725745	50729363	3618
16	50729867	196	1	CD	50729364	50756017	26653
16	50782167	196	4	CD	50756018	51282167	526149
16	75463237	324	1	IBD	74963237	75963237	1e+06
16	78768798	325	1	IBD	78268798	79268798	1e+06
16	81883307	198	1	IBD	81383307	81886257	502950
16	81889208	198	2	IBD	81886258	82361529	475271
16	82833851	199	1	CD	82361530	83333851	972321
16	85980635	200	1	IBD	85480635	86480635	1e+06
17	1453285	326	1	CD	953285	1953285	1e+06
17	7074375	327	1	IBD	6574375	7574375	1e+06
17	27542007	201	1	CD	27042007	28042007	1e+06
17	34243528	202	1	CD	33743528	34743528	1e+06
17	39867492	203	1	IBD	39367492	40367492	1e+06
17	42375526	204	1	IBD	41875526	42875526	1e+06
17	47259971	329	1	CD	46759971	47759971	1e+06
17	48268286	330	1	IBD	47768286	48768286	1e+06
17	56803632	205	1	CD	56303632	57303632	1e+06
17	59886176	206	1	IBD	59386176	60386176	1e+06
17	62449865	331	1	IBD	61949865	62949865	1e+06
17	72615055	207	1	IBD	72115055	73115055	1e+06
18	2734945	333	1	IBD	2234945	3234945	1e+06
18	12818923	209	1	IBD	12318923	13318923	1e+06
18	44806588	334	1	CD	44306588	45306588	1e+06
18	48878443	210	1	IBD	48378443	49378443	1e+06
18	50977537	335	1	IBD	50477537	51477537	1e+06
18	59212595	211	1	CD	58712595	59712595	1e+06
18	69863203	212	1	IBD	69363203	70363203	1e+06
18	79460616	213	1	CD	78960616	79960616	1e+06
19	1123653	214	1	CD	623653	1151574	527921
19	1179495	214	2	CD	1151575	1679495	527920
19	10352442	215	2	CD	9852442	10377338	524896
19	10402235	215	1	IBD	10377339	10430221	52882
19	10458207	215	3	CD	10430222	10958207	527985
19	18522945	336	1	CD	18022945	19022945	1e+06
19	33257277	216	1	IBD	32757277	33711389	954112
19	34165501	217	1	CD	33711390	34665501	954111
19	36991870	337	1	CD	36491870	37491870	1e+06
19	40712706	338	1	IBD	40212706	41212706	1e+06
19	46346549	218	1	CD	45846549	46846549	1e+06
19	48703417	219	1	CD	48203417	49203417	1e+06
19	54203491	339	1	CD	53703491	54537543	834052
19	54871595	220	1	IBD	54537544	55371595	834051
20	6113242	221	1	IBD	5613242	6613242	1e+06
20	14618543	340	1	CD	14118543	15118543	1e+06
20	32137845	222	1	IBD	31637845	32463160	825315
20	32788476	223	1	IBD	32463161	33288476	825315
20	35211477	224	1	IBD	34711477	35711477	1e+06
20	40169106	341	1	IBD	39669106	40669106	1e+06
20	41301389	342	1	IBD	40801389	41801389	1e+06
20	44561731	225	2	CD	44061731	45061731	1e+06
20	46120612	226	1	CD	45620612	46620612	1e+06
20	50339058	227	1	IBD	49839058	50839058	1e+06
20	59279977	228	1	IBD	58779977	59779977	1e+06
20	63697746	229	1	IBD	63197746	64197746	1e+06
21	15425772	230	2	CD	14925772	15430074	504302
21	15434376	230	1	CD	15430075	15934376	504301
21	33404389	231	1	CD	32904389	33904389	1e+06
21	39091357	232	1	IBD	38591357	39591357	1e+06
21	44193942	233	1	IBD	43693942	44693942	1e+06
22	21590189	234	1	CD	21090189	22090189	1e+06
22	26641724	343	1	IBD	26141724	27141724	1e+06
22	29775282	235	1	IBD	29275282	30275282	1e+06
22	36862461	237	1	CD	36362461	37362461	1e+06
22	39264824	238	1	IBD	38764824	39265684	500860
22	39266545	238	2	CD	39265685	39766545	500860
22	41471373	239	1	CD	40971373	41971373	1e+06
