targetId	diseaseId	drugId	clinicalPhase	clinicalStatus	diseaseFromSource	isApproved	isComplex	actionType	mechanismOfAction	references	targetName	targetType	target	chemblId	phenotype_id
ENSG00000111424	EFO_0002950	CHEMBL1042	2.0	Completed	Pregnancy	False	False	AGONIST	Vitamin D receptor agonist	[Row(ids=['15503649', '20435140'], source='PubMed', urls=['http://europepmc.org/abstract/MED/15503649', 'http://europepmc.org/abstract/MED/20435140'])]	Vitamin D receptor	single protein	ENSG00000111424	CHEMBL1042	ENSG00000111424
ENSG00000111424	EFO_0002950	CHEMBL1536	3.0	Unknown status	Pregnancy Complication	False	False	AGONIST	Vitamin D receptor agonist	[Row(ids=['16949927', '17218095', '17519354'], source='PubMed', urls=['http://europepmc.org/abstract/MED/16949927', 'http://europepmc.org/abstract/MED/17218095', 'http://europepmc.org/abstract/MED/17519354'])]	Vitamin D receptor	single protein	ENSG00000111424	CHEMBL1536	ENSG00000111424
ENSG00000111424	EFO_0002950	CHEMBL1042	1.0	Completed	Pregnancy	False	False	AGONIST	Vitamin D receptor agonist	[Row(ids=['15503649', '20435140'], source='PubMed', urls=['http://europepmc.org/abstract/MED/15503649', 'http://europepmc.org/abstract/MED/20435140'])]	Vitamin D receptor	single protein	ENSG00000111424	CHEMBL1042	ENSG00000111424
ENSG00000111424	EFO_0003929	CHEMBL1042	1.0	Completed	Relapsing Remitting Multiple Sclerosis	False	False	AGONIST	Vitamin D receptor agonist	[Row(ids=['15503649', '20435140'], source='PubMed', urls=['http://europepmc.org/abstract/MED/15503649', 'http://europepmc.org/abstract/MED/20435140'])]	Vitamin D receptor	single protein	ENSG00000111424	CHEMBL1042	ENSG00000111424
ENSG00000111424	EFO_0003929	CHEMBL1042	3.0	Completed	Relapsing Remitting Multiple Sclerosis	False	False	AGONIST	Vitamin D receptor agonist	[Row(ids=['15503649', '20435140'], source='PubMed', urls=['http://europepmc.org/abstract/MED/15503649', 'http://europepmc.org/abstract/MED/20435140'])]	Vitamin D receptor	single protein	ENSG00000111424	CHEMBL1042	ENSG00000111424
ENSG00000111424	EFO_0003929	CHEMBL1042	1.0	Completed	Multiple Sclerosis, Relapsing-remitting	False	False	AGONIST	Vitamin D receptor agonist	[Row(ids=['15503649', '20435140'], source='PubMed', urls=['http://europepmc.org/abstract/MED/15503649', 'http://europepmc.org/abstract/MED/20435140'])]	Vitamin D receptor	single protein	ENSG00000111424	CHEMBL1042	ENSG00000111424
ENSG00000111424	EFO_1000359	CHEMBL1200622	2.0	Completed	Advanced Pancreatic Cancer			AGONIST	Vitamin D receptor agonist	[Row(ids=['setid=1b27c026-2d60-47b4-2a9c-ded1818f21b5'], source='DailyMed', urls=['http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=1b27c026-2d60-47b4-2a9c-ded1818f21b5'])]	Vitamin D receptor	single protein	ENSG00000111424	CHEMBL1200622	ENSG00000111424
ENSG00000111424	EFO_1000359	CHEMBL1200622	2.0	Completed	Advanced Pancreatic Cancer			AGONIST	Vitamin D receptor agonist	[Row(ids=['setid=1b27c026-2d60-47b4-2a9c-ded1818f21b5'], source='DailyMed', urls=['http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=1b27c026-2d60-47b4-2a9c-ded1818f21b5'])]	Vitamin D receptor	single protein	ENSG00000111424	CHEMBL1200622	ENSG00000111424
ENSG00000111424	MONDO_0008170	CHEMBL1042	0.5	Completed	Ovarian Cancer			AGONIST	Vitamin D receptor agonist	[Row(ids=['15503649', '20435140'], source='PubMed', urls=['http://europepmc.org/abstract/MED/15503649', 'http://europepmc.org/abstract/MED/20435140'])]	Vitamin D receptor	single protein	ENSG00000111424	CHEMBL1042	ENSG00000111424
ENSG00000111424	MONDO_0008170	CHEMBL1042	2.0	Completed	Ovarian Cancer			AGONIST	Vitamin D receptor agonist	[Row(ids=['15503649', '20435140'], source='PubMed', urls=['http://europepmc.org/abstract/MED/15503649', 'http://europepmc.org/abstract/MED/20435140'])]	Vitamin D receptor	single protein	ENSG00000111424	CHEMBL1042	ENSG00000111424
ENSG00000111424	Orphanet_145	CHEMBL1042	2.0	Active, not recruiting	brca2 Mutation Carrier			AGONIST	Vitamin D receptor agonist	[Row(ids=['15503649', '20435140'], source='PubMed', urls=['http://europepmc.org/abstract/MED/15503649', 'http://europepmc.org/abstract/MED/20435140'])]	Vitamin D receptor	single protein	ENSG00000111424	CHEMBL1042	ENSG00000111424
ENSG00000115232	EFO_0000685	CHEMBL1201607	2.0	Terminated	Rheumatoid Arthritis			INHIBITOR	Integrin alpha-4/beta-1 inhibitor	[Row(ids=['setid=c5fdde91-1989-4dd2-9129-4f3323ea2962', 'setid=c5fdde91-1989-4dd2-9129-4f3323ea2962'], source='DailyMed', urls=['http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c5fdde91-1989-4dd2-9129-4f3323ea2962', 'http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c5fdde91-1989-4dd2-9129-4f3323ea2962'])]	Integrin alpha-4/beta-1	protein complex	ENSG00000115232	CHEMBL1201607	ENSG00000115232
ENSG00000115232	EFO_0000685	CHEMBL1201607	2.0	Terminated	Rheumatoid Arthritis			INHIBITOR	Integrin alpha-4/beta-7 inhibitor	[Row(ids=['setid=c5fdde91-1989-4dd2-9129-4f3323ea2962', 'setid=c5fdde91-1989-4dd2-9129-4f3323ea2962'], source='DailyMed', urls=['http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c5fdde91-1989-4dd2-9129-4f3323ea2962', 'http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c5fdde91-1989-4dd2-9129-4f3323ea2962'])]	Integrin alpha-4/beta-7	protein complex	ENSG00000115232	CHEMBL1201607	ENSG00000115232
ENSG00000115232	EFO_0000685	CHEMBL1201607	2.0	Terminated	Rheumatoid Arthritis			INHIBITOR	Integrin alpha-4/beta-1 inhibitor	[Row(ids=['setid=c5fdde91-1989-4dd2-9129-4f3323ea2962', 'setid=c5fdde91-1989-4dd2-9129-4f3323ea2962'], source='DailyMed', urls=['http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c5fdde91-1989-4dd2-9129-4f3323ea2962', 'http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c5fdde91-1989-4dd2-9129-4f3323ea2962'])]	Integrin alpha-4/beta-1	protein complex	ENSG00000115232	CHEMBL1201607	ENSG00000115232
ENSG00000115232	EFO_0000685	CHEMBL1201607	2.0	Terminated	Rheumatoid Arthritis			INHIBITOR	Integrin alpha-4/beta-7 inhibitor	[Row(ids=['setid=c5fdde91-1989-4dd2-9129-4f3323ea2962', 'setid=c5fdde91-1989-4dd2-9129-4f3323ea2962'], source='DailyMed', urls=['http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c5fdde91-1989-4dd2-9129-4f3323ea2962', 'http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c5fdde91-1989-4dd2-9129-4f3323ea2962'])]	Integrin alpha-4/beta-7	protein complex	ENSG00000115232	CHEMBL1201607	ENSG00000115232
ENSG00000137806	EFO_0009516	CHEMBL1431	2.0	Not yet recruiting	Burns			INHIBITOR	Mitochondrial complex I (NADH dehydrogenase) inhibitor	[Row(ids=['23277337', '23358356', '25017630', '24847880'], source='PubMed', urls=['http://europepmc.org/abstract/MED/23277337', 'http://europepmc.org/abstract/MED/23358356', 'http://europepmc.org/abstract/MED/25017630', 'http://europepmc.org/abstract/MED/24847880'])]	Mitochondrial complex I (NADH dehydrogenase)	protein complex	ENSG00000137806	CHEMBL1431	ENSG00000137806
ENSG00000138160	EFO_0006859	CHEMBL2105661	2.0	Completed	Cancer of Head and Neck			INHIBITOR	Kinesin-like protein 1 inhibitor	[Row(ids=['24752449', '26304237'], source='PubMed', urls=['http://europepmc.org/abstract/MED/24752449', 'http://europepmc.org/abstract/MED/26304237'])]	Kinesin-like protein 1	single protein	ENSG00000138160	CHEMBL2105661	ENSG00000138160
ENSG00000159128	EFO_0000637	CHEMBL1201564	1.0	Terminated	Osteosarcoma			AGONIST	Interferon gamma receptor agonist	[Row(ids=['7617032'], source='PubMed', urls=['http://europepmc.org/abstract/MED/7617032']), Row(ids=['label/2015/103836s5182lbl.pdf'], source='FDA', urls=['http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/103836s5182lbl.pdf'])]	Interferon gamma receptor	protein complex	ENSG00000159128	CHEMBL1201564	ENSG00000159128
ENSG00000166501	EFO_1001469	CHEMBL300138	2.0	Completed	Mantle-Cell Lymphoma			INHIBITOR	Protein kinase C beta inhibitor	[Row(ids=['12749884', '17671157'], source='PubMed', urls=['http://europepmc.org/abstract/MED/12749884', 'http://europepmc.org/abstract/MED/17671157'])]	Protein kinase C beta	single protein	ENSG00000166501	CHEMBL300138	ENSG00000166501
ENSG00000166501	MONDO_0007254	CHEMBL574737	1.0	Completed	Breast Cancer			INHIBITOR	Protein kinase C (PKC) inhibitor	[Row(ids=['http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=7907', 'http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=7907', 'http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=7907', 'http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=7907', 'http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=7907', 'http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=7907'], source='Other', urls=['http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=7907', 'http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=7907', 'http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=7907', 'http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=7907', 'http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=7907', 'http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=7907']), Row(ids=['12892559', '19568282', '12892559', '19568282', '12892559', '19568282', '12892559', '19568282', '12892559', '19568282', '12892559', '19568282'], source='PubMed', urls=['http://europepmc.org/abstract/MED/12892559', 'http://europepmc.org/abstract/MED/19568282', 'http://europepmc.org/abstract/MED/12892559', 'http://europepmc.org/abstract/MED/19568282', 'http://europepmc.org/abstract/MED/12892559', 'http://europepmc.org/abstract/MED/19568282', 'http://europepmc.org/abstract/MED/12892559', 'http://europepmc.org/abstract/MED/19568282', 'http://europepmc.org/abstract/MED/12892559', 'http://europepmc.org/abstract/MED/19568282', 'http://europepmc.org/abstract/MED/12892559', 'http://europepmc.org/abstract/MED/19568282'])]	Protein kinase C (PKC)	protein family	ENSG00000166501	CHEMBL574737	ENSG00000166501
ENSG00000166501	MONDO_0007254	CHEMBL300138	2.0	Completed	Breast Cancer			INHIBITOR	Protein kinase C beta inhibitor	[Row(ids=['12749884', '17671157'], source='PubMed', urls=['http://europepmc.org/abstract/MED/12749884', 'http://europepmc.org/abstract/MED/17671157'])]	Protein kinase C beta	single protein	ENSG00000166501	CHEMBL300138	ENSG00000166501
ENSG00000166501	MONDO_0007254	CHEMBL300138	2.0	Terminated	Breast Cancer			INHIBITOR	Protein kinase C beta inhibitor	[Row(ids=['12749884', '17671157'], source='PubMed', urls=['http://europepmc.org/abstract/MED/12749884', 'http://europepmc.org/abstract/MED/17671157'])]	Protein kinase C beta	single protein	ENSG00000166501	CHEMBL300138	ENSG00000166501
ENSG00000166501	MONDO_0007254	CHEMBL300138	2.0	Terminated	Breast Cancer			INHIBITOR	Protein kinase C beta inhibitor	[Row(ids=['12749884', '17671157'], source='PubMed', urls=['http://europepmc.org/abstract/MED/12749884', 'http://europepmc.org/abstract/MED/17671157'])]	Protein kinase C beta	single protein	ENSG00000166501	CHEMBL300138	ENSG00000166501
ENSG00000198355	MONDO_0004992	CHEMBL3545423	1.0	Completed	Advanced Solid Malignancies			INHIBITOR	Serine/threonine-protein kinase PIM inhibitor	[Row(ids=['24363397'], source='PubMed', urls=['http://europepmc.org/abstract/MED/24363397'])]	Serine/threonine-protein kinase PIM	protein family	ENSG00000198355	CHEMBL3545423	ENSG00000198355
ENSG00000065989	MONDO_0100130	CHEMBL193240	2.0	Completed	Respiratory Distress Syndrome, Adult			INHIBITOR	Phosphodiesterase 4 inhibitor	[Row(ids=['setid=95519b97-d0a6-4c9f-baf0-bc5da08296c7#nlm34090-1'], source='DailyMed', urls=['http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=95519b97-d0a6-4c9f-baf0-bc5da08296c7#nlm34090-1']), Row(ids=['22735051'], source='PubMed', urls=['http://europepmc.org/abstract/MED/22735051'])]	Phosphodiesterase 4	protein family	ENSG00000065989	CHEMBL193240	ENSG00000065989
ENSG00000087085	MONDO_0043510	CHEMBL636	3.0	Completed	Traumatic Brain Injury	False	False	INHIBITOR	Cholinesterases; ACHE & BCHE inhibitor	[Row(ids=['label/2006/020823s016,021025s008lbl.pdf'], source='FDA', urls=['http://www.accessdata.fda.gov/drugsatfda_docs/label/2006/020823s016,021025s008lbl.pdf'])]	Cholinesterases; ACHE & BCHE	selectivity group	ENSG00000087085	CHEMBL636	ENSG00000087085
ENSG00000087085	MONDO_0043510	CHEMBL636	3.0	Completed	Traumatic Brain Injury	False	False	INHIBITOR	Cholinesterases; ACHE & BCHE inhibitor	[Row(ids=['label/2006/020823s016,021025s008lbl.pdf'], source='FDA', urls=['http://www.accessdata.fda.gov/drugsatfda_docs/label/2006/020823s016,021025s008lbl.pdf'])]	Cholinesterases; ACHE & BCHE	selectivity group	ENSG00000087085	CHEMBL636	ENSG00000087085
ENSG00000087085	MONDO_0043510	CHEMBL1255901	2.0	Terminated	Traumatic Brain Injury			INHIBITOR	Acetylcholinesterase inhibitor	[Row(ids=['22941287'], source='PubMed', urls=['https://pubmed.ncbi.nlm.nih.gov/22941287/'])]	Acetylcholinesterase	single protein	ENSG00000087085	CHEMBL1255901	ENSG00000087085
ENSG00000096968	EFO_0003872	CHEMBL221959	2.0	Recruiting	Immune-Mediated Colitis			INHIBITOR	Janus Kinase (JAK) inhibitor	[Row(ids=['TOFACITINIB'], source='Expert', urls=['http://chembl.blogspot.co.uk/search?q=TOFACITINIB'])]	Janus Kinase (JAK)	protein family	ENSG00000096968	CHEMBL221959	ENSG00000096968
ENSG00000096968	EFO_0007183	CHEMBL1789941	2.0	Recruiting	Bronchiolitis Obliterans (BO)			INHIBITOR	Tyrosine-protein kinase JAK2 inhibitor	[Row(ids=['label/2012/202192s001lbl.pdf', 'label/2012/202192s001lbl.pdf'], source='FDA', urls=['http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/202192s001lbl.pdf', 'http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/202192s001lbl.pdf'])]	Tyrosine-protein kinase JAK2	single protein	ENSG00000096968	CHEMBL1789941	ENSG00000096968
ENSG00000101017	EFO_0005221	CHEMBL4297721	1.0	Completed	Cholangiocarcinoma			AGONIST	Tumor necrosis factor receptor superfamily member 5 agonist	[Row(ids=['30382327'], source='PubMed', urls=['https://pubmed.ncbi.nlm.nih.gov/30382327/'])]	Tumor necrosis factor receptor superfamily member 5	single protein	ENSG00000101017	CHEMBL4297721	ENSG00000101017
ENSG00000111424	EFO_0003834	CHEMBL1536	2.0	Terminated	Cutaneous Lupus Erythematosus			AGONIST	Vitamin D receptor agonist	[Row(ids=['16949927', '17218095', '17519354'], source='PubMed', urls=['http://europepmc.org/abstract/MED/16949927', 'http://europepmc.org/abstract/MED/17218095', 'http://europepmc.org/abstract/MED/17519354'])]	Vitamin D receptor	single protein	ENSG00000111424	CHEMBL1536	ENSG00000111424
ENSG00000111424	EFO_0003917	CHEMBL1536	1.0	Completed	Prematurity			AGONIST	Vitamin D receptor agonist	[Row(ids=['16949927', '17218095', '17519354'], source='PubMed', urls=['http://europepmc.org/abstract/MED/16949927', 'http://europepmc.org/abstract/MED/17218095', 'http://europepmc.org/abstract/MED/17519354'])]	Vitamin D receptor	single protein	ENSG00000111424	CHEMBL1536	ENSG00000111424
ENSG00000111424	EFO_0003917	CHEMBL1042	1.0	Recruiting	Prematurity	False	False	AGONIST	Vitamin D receptor agonist	[Row(ids=['15503649', '20435140'], source='PubMed', urls=['http://europepmc.org/abstract/MED/15503649', 'http://europepmc.org/abstract/MED/20435140'])]	Vitamin D receptor	single protein	ENSG00000111424	CHEMBL1042	ENSG00000111424
ENSG00000111424	EFO_0005854	CHEMBL1042	2.0	Recruiting	Allergic Rhinitis Due to Grass Pollen			AGONIST	Vitamin D receptor agonist	[Row(ids=['15503649', '20435140'], source='PubMed', urls=['http://europepmc.org/abstract/MED/15503649', 'http://europepmc.org/abstract/MED/20435140'])]	Vitamin D receptor	single protein	ENSG00000111424	CHEMBL1042	ENSG00000111424
ENSG00000111424	EFO_0005854	CHEMBL1536	2.0	Recruiting	Allergic Rhinitis Due to Grass Pollen			AGONIST	Vitamin D receptor agonist	[Row(ids=['16949927', '17218095', '17519354'], source='PubMed', urls=['http://europepmc.org/abstract/MED/16949927', 'http://europepmc.org/abstract/MED/17218095', 'http://europepmc.org/abstract/MED/17519354'])]	Vitamin D receptor	single protein	ENSG00000111424	CHEMBL1536	ENSG00000111424
ENSG00000111424	EFO_0005878	CHEMBL1536	2.0	Completed	Patients With Hypovitaminosis C and D			AGONIST	Vitamin D receptor agonist	[Row(ids=['16949927', '17218095', '17519354'], source='PubMed', urls=['http://europepmc.org/abstract/MED/16949927', 'http://europepmc.org/abstract/MED/17218095', 'http://europepmc.org/abstract/MED/17519354'])]	Vitamin D receptor	single protein	ENSG00000111424	CHEMBL1536	ENSG00000111424
ENSG00000111424	MONDO_0009804	CHEMBL1536	2.0	Completed	Osteogenesis Imperfecta Type III			AGONIST	Vitamin D receptor agonist	[Row(ids=['16949927', '17218095', '17519354'], source='PubMed', urls=['http://europepmc.org/abstract/MED/16949927', 'http://europepmc.org/abstract/MED/17218095', 'http://europepmc.org/abstract/MED/17519354'])]	Vitamin D receptor	single protein	ENSG00000111424	CHEMBL1536	ENSG00000111424
ENSG00000137806	EFO_0000685	CHEMBL1431	1.0	Completed	Rheumatoid Arthritis			INHIBITOR	Mitochondrial complex I (NADH dehydrogenase) inhibitor	[Row(ids=['23277337', '23358356', '25017630', '24847880'], source='PubMed', urls=['http://europepmc.org/abstract/MED/23277337', 'http://europepmc.org/abstract/MED/23358356', 'http://europepmc.org/abstract/MED/25017630', 'http://europepmc.org/abstract/MED/24847880'])]	Mitochondrial complex I (NADH dehydrogenase)	protein complex	ENSG00000137806	CHEMBL1431	ENSG00000137806
ENSG00000137806	EFO_0000685	CHEMBL1431	2.0	Active, not recruiting	Arthritis, Rheumatoid			INHIBITOR	Mitochondrial complex I (NADH dehydrogenase) inhibitor	[Row(ids=['23277337', '23358356', '25017630', '24847880'], source='PubMed', urls=['http://europepmc.org/abstract/MED/23277337', 'http://europepmc.org/abstract/MED/23358356', 'http://europepmc.org/abstract/MED/25017630', 'http://europepmc.org/abstract/MED/24847880'])]	Mitochondrial complex I (NADH dehydrogenase)	protein complex	ENSG00000137806	CHEMBL1431	ENSG00000137806
ENSG00000137806	EFO_0000685	CHEMBL1431	1.0	Completed	Rheumatoid Arthritis			INHIBITOR	Mitochondrial complex I (NADH dehydrogenase) inhibitor	[Row(ids=['23277337', '23358356', '25017630', '24847880'], source='PubMed', urls=['http://europepmc.org/abstract/MED/23277337', 'http://europepmc.org/abstract/MED/23358356', 'http://europepmc.org/abstract/MED/25017630', 'http://europepmc.org/abstract/MED/24847880'])]	Mitochondrial complex I (NADH dehydrogenase)	protein complex	ENSG00000137806	CHEMBL1431	ENSG00000137806
ENSG00000137806	EFO_0000685	CHEMBL1431	2.0	Recruiting	Rheumatoid Arthritis			INHIBITOR	Mitochondrial complex I (NADH dehydrogenase) inhibitor	[Row(ids=['23277337', '23358356', '25017630', '24847880'], source='PubMed', urls=['http://europepmc.org/abstract/MED/23277337', 'http://europepmc.org/abstract/MED/23358356', 'http://europepmc.org/abstract/MED/25017630', 'http://europepmc.org/abstract/MED/24847880'])]	Mitochondrial complex I (NADH dehydrogenase)	protein complex	ENSG00000137806	CHEMBL1431	ENSG00000137806
ENSG00000137806	EFO_0000694	CHEMBL1431	3.0	Completed	SARS-CoV Infection	False	True	INHIBITOR	Mitochondrial complex I (NADH dehydrogenase) inhibitor	[Row(ids=['23277337', '23358356', '25017630', '24847880'], source='PubMed', urls=['http://europepmc.org/abstract/MED/23277337', 'http://europepmc.org/abstract/MED/23358356', 'http://europepmc.org/abstract/MED/25017630', 'http://europepmc.org/abstract/MED/24847880'])]	Mitochondrial complex I (NADH dehydrogenase)	protein complex	ENSG00000137806	CHEMBL1431	ENSG00000137806
ENSG00000137806	EFO_0009637	CHEMBL1431	2.0	Suspended	Malignant Pleural Effusion			INHIBITOR	Mitochondrial complex I (NADH dehydrogenase) inhibitor	[Row(ids=['23277337', '23358356', '25017630', '24847880'], source='PubMed', urls=['http://europepmc.org/abstract/MED/23277337', 'http://europepmc.org/abstract/MED/23358356', 'http://europepmc.org/abstract/MED/25017630', 'http://europepmc.org/abstract/MED/24847880'])]	Mitochondrial complex I (NADH dehydrogenase)	protein complex	ENSG00000137806	CHEMBL1431	ENSG00000137806
ENSG00000137806	EFO_0009637	CHEMBL1703	2.0	Suspended	Malignant Pleural Effusion			INHIBITOR	Mitochondrial complex I (NADH dehydrogenase) inhibitor	[Row(ids=['23277337', '23358356', '25017630', '24847880'], source='PubMed', urls=['http://europepmc.org/abstract/MED/23277337', 'http://europepmc.org/abstract/MED/23358356', 'http://europepmc.org/abstract/MED/25017630', 'http://europepmc.org/abstract/MED/24847880'])]	Mitochondrial complex I (NADH dehydrogenase)	protein complex	ENSG00000137806	CHEMBL1703	ENSG00000137806
ENSG00000137806	MONDO_0044704	CHEMBL1431	0.5	Completed	Oropharyngeal Squamous Cell Carcinoma			INHIBITOR	Mitochondrial complex I (NADH dehydrogenase) inhibitor	[Row(ids=['23277337', '23358356', '25017630', '24847880'], source='PubMed', urls=['http://europepmc.org/abstract/MED/23277337', 'http://europepmc.org/abstract/MED/23358356', 'http://europepmc.org/abstract/MED/25017630', 'http://europepmc.org/abstract/MED/24847880'])]	Mitochondrial complex I (NADH dehydrogenase)	protein complex	ENSG00000137806	CHEMBL1431	ENSG00000137806
ENSG00000143801	EFO_0000365	CHEMBL4297422	2.0	Withdrawn	Adenocarcinoma of the Colon			INHIBITOR	Gamma-secretase inhibitor	[Row(ids=['19773430', '21980408'], source='PubMed', urls=['http://europepmc.org/abstract/MED/19773430', 'http://europepmc.org/abstract/MED/21980408'])]	Gamma-secretase	protein complex	ENSG00000143801	CHEMBL4297422	ENSG00000143801
